path,walletCount,churnPercent,changedWallets,staffRateUsdPerHour,ethPriceUsd,l2GasPriceGwei,measuredIssuerGas,measuredUserGas,transactionCount,observedAutomationHoursProxy,staffCostUsd,l1SecurityFeeProxyUsd,issuerPaidUsd,userPaidUsd,totalSystemCostUsd
ilal-v2-zk-policy-grant,100000,1,1000,200,4000,0.01,138493,61520000,1001,0.25,50,0,50.00553972,2.4608,52.46633972
benchmark-only-onchain-allowlist,100000,1,1000,200,4000,0.01,23054000,0,1000,0.25,50,0,50.92216,0,50.92216
ilal-v1-cnf-eas,100000,1,1000,200,4000,0.1,118123000,242101000,2000,0.25,50,0,97.2492,96.8404,194.08960000000002
ilal-v2-zk-policy-grant,100000,1,1000,200,4000,0.1,138493,61520000,1001,0.25,50,0,50.0553972,24.608,74.6633972
benchmark-only-onchain-allowlist,100000,1,1000,200,4000,0.1,23054000,0,1000,0.25,50,0,59.2216,0,59.2216
ilal-v1-cnf-eas,100000,1,1000,200,4000,1,118123000,242101000,2000,0.25,50,0,522.492,968.404,1490.896
ilal-v2-zk-policy-grant,100000,1,1000,200,4000,1,138493,61520000,1001,0.25,50,0,50.553972,246.08,296.633972
benchmark-only-onchain-allowlist,100000,1,1000,200,4000,1,23054000,0,1000,0.25,50,0,142.216,0,142.216
ilal-v1-cnf-eas,100000,5,5000,50,2000,0.01,590615000,1210505000,10000,0.25,12.5,0,24.3123,24.2101,48.522400000000005
ilal-v2-zk-policy-grant,100000,5,5000,50,2000,0.01,138493,307600000,5001,0.25,12.5,0,12.50276986,6.152,18.654769860000002
benchmark-only-onchain-allowlist,100000,5,5000,50,2000,0.01,115270000,0,5000,0.25,12.5,0,14.8054,0,14.8054
ilal-v1-cnf-eas,100000,5,5000,50,2000,0.1,590615000,1210505000,10000,0.25,12.5,0,130.623,242.101,372.724
ilal-v2-zk-policy-grant,100000,5,5000,50,2000,0.1,138493,307600000,5001,0.25,12.5,0,12.5276986,61.52,74.0476986
benchmark-only-onchain-allowlist,100000,5,5000,50,2000,0.1,115270000,0,5000,0.25,12.5,0,35.554,0,35.554
ilal-v1-cnf-eas,100000,5,5000,50,2000,1,590615000,1210505000,10000,0.25,12.5,0,1193.73,2421.01,3614.7400000000002
ilal-v2-zk-policy-grant,100000,5,5000,50,2000,1,138493,307600000,5001,0.25,12.5,0,12.776986,615.2,627.976986
benchmark-only-onchain-allowlist,100000,5,5000,50,2000,1,115270000,0,5000,0.25,12.5,0,243.04000000000002,0,243.04000000000002
ilal-v1-cnf-eas,100000,5,5000,50,3000,0.01,590615000,1210505000,10000,0.25,12.5,0,30.21845,36.31515,66.5336
ilal-v2-zk-policy-grant,100000,5,5000,50,3000,0.01,138493,307600000,5001,0.25,12.5,0,12.50415479,9.228,21.73215479
benchmark-only-onchain-allowlist,100000,5,5000,50,3000,0.01,115270000,0,5000,0.25,12.5,0,15.9581,0,15.9581
ilal-v1-cnf-eas,100000,5,5000,50,3000,0.1,590615000,1210505000,10000,0.25,12.5,0,189.6845,363.1515,552.836
ilal-v2-zk-policy-grant,100000,5,5000,50,3000,0.1,138493,307600000,5001,0.25,12.5,0,12.5415479,92.28,104.8215479
benchmark-only-onchain-allowlist,100000,5,5000,50,3000,0.1,115270000,0,5000,0.25,12.5,0,47.081,0,47.081
ilal-v1-cnf-eas,100000,5,5000,50,3000,1,590615000,1210505000,10000,0.25,12.5,0,1784.345,3631.5150000000003,5415.860000000001
ilal-v2-zk-policy-grant,100000,5,5000,50,3000,1,138493,307600000,5001,0.25,12.5,0,12.915479,922.8000000000001,935.7154790000001
benchmark-only-onchain-allowlist,100000,5,5000,50,3000,1,115270000,0,5000,0.25,12.5,0,358.31000000000006,0,358.31000000000006
ilal-v1-cnf-eas,100000,5,5000,50,4000,0.01,590615000,1210505000,10000,0.25,12.5,0,36.1246,48.4202,84.54480000000001
ilal-v2-zk-policy-grant,100000,5,5000,50,4000,0.01,138493,307600000,5001,0.25,12.5,0,12.50553972,12.304,24.80953972
benchmark-only-onchain-allowlist,100000,5,5000,50,4000,0.01,115270000,0,5000,0.25,12.5,0,17.1108,0,17.1108
ilal-v1-cnf-eas,100000,5,5000,50,4000,0.1,590615000,1210505000,10000,0.25,12.5,0,248.746,484.202,732.948
ilal-v2-zk-policy-grant,100000,5,5000,50,4000,0.1,138493,307600000,5001,0.25,12.5,0,12.5553972,123.04,135.5953972
benchmark-only-onchain-allowlist,100000,5,5000,50,4000,0.1,115270000,0,5000,0.25,12.5,0,58.608000000000004,0,58.608000000000004
ilal-v1-cnf-eas,100000,5,5000,50,4000,1,590615000,1210505000,10000,0.25,12.5,0,2374.96,4842.02,7216.9800000000005
ilal-v2-zk-policy-grant,100000,5,5000,50,4000,1,138493,307600000,5001,0.25,12.5,0,13.053972,1230.4,1243.453972
benchmark-only-onchain-allowlist,100000,5,5000,50,4000,1,115270000,0,5000,0.25,12.5,0,473.58000000000004,0,473.58000000000004
