scenarioId,notionalUsd,matchingRatioPercent,poolFeeBps,liquidityMode,executionStatus,measured,rejectionReason,economics,baselines,invariants
econ-candidate-fixed-10000-70-5bps,10000,70,5,candidate-fixed,FULL_FILL,true,,"{""outputAdvantageUsd"":6.467941,""gasPremium"":449996,""l2CostUsdAt1GweiEth3000"":1.3499880000000002,""solverReserveUsd"":0.85,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":4.267953,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":16989535876,""totalGas"":692217,""endingTick"":-60,""lpFeeRaw"":1500000},""directV4Independent"":{""fullFill"":true,""outputRaw"":16983067935,""totalGas"":242221,""lpFeeRaw"":8500000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":16983067935,""totalGas"":221221,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":16989535876,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-10000-90-100bps,10000,90,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-10000-90-1bps,10000,90,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-10000-90-30bps,10000,90,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-10000-90-5bps,10000,90,5,candidate-fixed,FULL_FILL,true,,"{""outputAdvantageUsd"":8.813789,""gasPremium"":449499,""l2CostUsdAt1GweiEth3000"":1.348497,""solverReserveUsd"":0.95,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":6.515292,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":18998501997,""totalGas"":692213,""endingTick"":-20,""lpFeeRaw"":500000},""directV4Independent"":{""fullFill"":true,""outputRaw"":18989688208,""totalGas"":242714,""lpFeeRaw"":9500000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":18989688208,""totalGas"":221714,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":18998501997,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-100000-100-100bps,100000,100,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-100-1bps,100000,100,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-100-30bps,100000,100,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-100-5bps,100000,100,5,candidate-fixed,CAPACITY_LIMITED,true,,,"{""ilal"":{""succeeded"":false,""outputRaw"":0,""totalGas"":529883,""endingTick"":0,""lpFeeRaw"":0},""directV4Independent"":{""fullFill"":false,""outputRaw"":0,""totalGas"":0,""lpFeeRaw"":100000000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":false,""outputRaw"":0,""totalGas"":0,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""CAPACITY_LIMITED"",""outputRaw"":null,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""ROLLED_BACK"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-100000-25-100bps,100000,25,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-25-1bps,100000,25,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-25-30bps,100000,25,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-25-5bps,100000,25,5,candidate-fixed,CAPACITY_LIMITED,true,,,"{""ilal"":{""succeeded"":false,""outputRaw"":0,""totalGas"":2664527,""endingTick"":0,""lpFeeRaw"":37500000},""directV4Independent"":{""fullFill"":false,""outputRaw"":0,""totalGas"":0,""lpFeeRaw"":62500000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":false,""outputRaw"":0,""totalGas"":0,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""CAPACITY_LIMITED"",""outputRaw"":null,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""ROLLED_BACK"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-100000-50-100bps,100000,50,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-50-1bps,100000,50,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-50-30bps,100000,50,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-50-5bps,100000,50,5,candidate-fixed,CAPACITY_LIMITED,true,,,"{""ilal"":{""succeeded"":false,""outputRaw"":0,""totalGas"":570996,""endingTick"":0,""lpFeeRaw"":25000000},""directV4Independent"":{""fullFill"":false,""outputRaw"":0,""totalGas"":0,""lpFeeRaw"":75000000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":false,""outputRaw"":0,""totalGas"":0,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""CAPACITY_LIMITED"",""outputRaw"":null,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""ROLLED_BACK"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-100000-70-100bps,100000,70,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-70-1bps,100000,70,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-70-30bps,100000,70,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-70-5bps,100000,70,5,candidate-fixed,CAPACITY_LIMITED,true,,,"{""ilal"":{""succeeded"":false,""outputRaw"":0,""totalGas"":570957,""endingTick"":0,""lpFeeRaw"":15000000},""directV4Independent"":{""fullFill"":false,""outputRaw"":0,""totalGas"":0,""lpFeeRaw"":85000000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":false,""outputRaw"":0,""totalGas"":0,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""CAPACITY_LIMITED"",""outputRaw"":null,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""ROLLED_BACK"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-candidate-fixed-100000-90-100bps,100000,90,100,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-90-1bps,100000,90,1,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-90-30bps,100000,90,30,candidate-fixed,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-candidate-fixed-100000-90-5bps,100000,90,5,candidate-fixed,CAPACITY_LIMITED,true,,,"{""ilal"":{""succeeded"":false,""outputRaw"":0,""totalGas"":511573,""endingTick"":0,""lpFeeRaw"":5000000},""directV4Independent"":{""fullFill"":false,""outputRaw"":0,""totalGas"":0,""lpFeeRaw"":95000000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":false,""outputRaw"":0,""totalGas"":0,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""CAPACITY_LIMITED"",""outputRaw"":null,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""ROLLED_BACK"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-100-100-100bps,100,100,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-100-1bps,100,100,1,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-100-30bps,100,100,30,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
econ-scaled-100-100-5bps,100,100,5,scaled,FULL_FILL,true,,"{""outputAdvantageUsd"":0.100001,""gasPremium"":408822,""l2CostUsdAt1GweiEth3000"":1.226466,""solverReserveUsd"":0.01,""l1SecurityFeeUsd"":null,""netBenefitUsdExcludingL1"":-1.136465,""productionFeeVerdict"":""PENDING_FORK_L1_AND_UNIVERSAL_ROUTER""}","{""ilal"":{""succeeded"":true,""outputRaw"":200000000,""totalGas"":651689,""endingTick"":0,""lpFeeRaw"":0},""directV4Independent"":{""fullFill"":true,""outputRaw"":199899999,""totalGas"":242867,""lpFeeRaw"":100000},""directV4Bundled"":{""status"":""MODELLED_LOCAL_ENVELOPE"",""fullFill"":true,""outputRaw"":199899999,""totalGas"":221867,""note"":""Same measured two-swap execution with one transaction intrinsic removed; wrapper overhead is not inferred.""},""universalRouterPermit2Independent"":{""status"":""PENDING_FORK_MEASUREMENT""},""universalRouterPermit2Bundled"":{""status"":""PENDING_FORK_MEASUREMENT""},""residualOnlyLowerBound"":{""status"":""THEORETICAL_LOWER_BOUND"",""outputRaw"":200000000,""excludedCosts"":[""signature-validation"",""policy-validation"",""canonical-allocation""]}}","{""conservation"":""PASS"",""atomicity"":""PASS"",""zeroInventory"":""PASS""}"
econ-scaled-100-25-100bps,100,25,100,scaled,UNSUPPORTED_CONFIGURATION,false,InstitutionalNettingHook candidate immutably supports only fee=500 pips (5 bps),,,
